num,type,x_coor,y_coor
1,2,8.29483356036796,47.8005083348189
2,2,10.2903642978411,47.8659036790991
3,2,12.2903853701921,47.9291209919643
4,2,14.2949817462715,47.9871977358879
5,2,16.3042155724446,48.0371512121282
6,2,18.318112860148,48.0759783968909
7,2,24.3872198920862,48.0953719564451
8,2,26.4188343006777,48.0592693339474
9,2,28.4542241392916,47.9967391176812
10,2,30.4929111587893,47.9046750145358
11,2,32.5715480310539,47.7694057800486
12,2,34.7354354110013,47.5303707137414
13,2,36.9671887094624,47.1090924863221
14,2,41.4608084515852,45.3878796220444
15,2,43.5486168233166,43.9466679046951
16,2,46.7637769841785,40.1838709296144
17,2,47.8711744070693,38.045874156376
18,2,48.6759026786991,35.8287318442088
19,2,49.2095764033813,33.5308461962448
20,2,49.371790659603,28.7456240961468
21,2,48.9402528124274,26.3442245678724
22,2,48.1379348685719,24.0115869446911
23,2,46.9718766730536,21.8331831495909
24,2,45.5183908761479,19.8937545099424
25,2,42.034452284309,16.7521854290723
26,2,38.0024261140352,14.4777602906678
27,2,35.7974585974047,13.6826661179064
28,2,33.4965697064231,13.1523520909686
29,2,31.1302557069132,12.9121393769316
30,2,28.7495405480103,12.9803375419597
31,2,26.4275819814214,13.3378047377686
32,2,24.1935407090117,13.9452300781406
33,2,20.0475993937396,15.7534500265274
34,2,16.395185781583,18.0421326577611
35,2,14.7344934919394,19.210358215895
36,2,13.1401972893467,20.3265665388672
37,2,11.5833537070008,21.3477072094266
38,2,10.0428032559345,22.2341839570762
39,2,6.90006888859156,23.510122114402
40,2,5.24310276950825,23.9102111346615
41,2,3.54614319085073,24.1525066527486
42,2,1.82453456285617,24.2384953941222
43,2,-1.49646987010121,23.9423419780574
44,2,-2.88611819700968,23.518850361989
45,2,-4.87663538345929,22.0841121388762
46,2,-5.48860547878733,21.0654842962416
47,2,-5.81567263287249,19.9085084532591
48,2,-5.8334919233918,18.6923268134878
49,2,-5.53917605118359,17.497740705306
50,2,-4.95012865665813,16.4016948398736
51,2,-4.05317915721677,15.4107620877673
52,2,0.49212153312725,12.4494087837712
53,2,2.38653784056378,11.1712478467585
54,2,4.26363974073903,9.48929957533922
55,2,5.87263326747036,7.25460792254726
56,2,6.83628597561633,4.68706884998182
57,2,7.22868549746256,2.31823546262226
